/homes/bioinfo/bionano/Trib_cast_0002_september_2014/ncbi/pre_Tcas5.2_2.fasta_contig.fasta to /homes/bioinfo/bionano/Trib_cast_0002_september_2014/ncbi/Tcas5.2_contigs.fasta
Contig_1	contig_seqid1
Contig_2	contig_seqid2
Contig_3	contig_seqid3
Contig_4	contig_seqid4
Contig_5	contig_seqid5
Contig_6	contig_seqid6
Contig_7	contig_seqid7
Contig_8	contig_seqid8
Contig_9	contig_seqid9
Contig_10	contig_seqid10
Contig_11	contig_seqid11
Contig_12	contig_seqid12
Contig_13	contig_seqid13
Contig_14	contig_seqid14
Contig_15	contig_seqid15
Contig_16	contig_seqid16
Contig_17	contig_seqid17
Contig_18	contig_seqid18
Contig_19	contig_seqid19
Contig_20	contig_seqid20
Contig_21	contig_seqid21
Contig_22	contig_seqid22
Contig_23	contig_seqid23
Contig_24	contig_seqid24
Contig_25	contig_seqid25
Contig_26	contig_seqid26
Contig_27	contig_seqid27
Contig_28	contig_seqid28
Contig_29	contig_seqid29
Contig_30	contig_seqid30
Contig_31	contig_seqid31
Contig_32	contig_seqid32
Contig_33	contig_seqid33
Contig_34	contig_seqid34
Contig_35	contig_seqid35
Contig_36	contig_seqid36
Contig_37	contig_seqid37
Contig_38	contig_seqid38
Contig_39	contig_seqid39
Contig_40	contig_seqid40
Contig_41	contig_seqid41
Contig_42	contig_seqid42
Contig_43	contig_seqid43
Contig_44	contig_seqid44
Contig_45	contig_seqid45
Contig_46	contig_seqid46
Contig_47	contig_seqid47
Contig_48	contig_seqid48
Contig_49	contig_seqid49
Contig_50	contig_seqid50
Contig_51	contig_seqid51
Contig_52	contig_seqid52
Contig_53	contig_seqid53
Contig_54	contig_seqid54
Contig_55	contig_seqid55
Contig_56	contig_seqid56
Contig_57	contig_seqid57
Contig_58	contig_seqid58
Contig_59	contig_seqid59
Contig_60	contig_seqid60
Contig_61	contig_seqid61
Contig_62	contig_seqid62
Contig_63	contig_seqid63
Contig_64	contig_seqid64
Contig_65	contig_seqid65
Contig_66	contig_seqid66
Contig_67	contig_seqid67
Contig_68	contig_seqid68
Contig_69	contig_seqid69
Contig_70	contig_seqid70
Contig_71	contig_seqid71
Contig_72	contig_seqid72
Contig_73	contig_seqid73
Contig_74	contig_seqid74
Contig_75	contig_seqid75
Contig_76	contig_seqid76
Contig_77	contig_seqid77
Contig_78	contig_seqid78
Contig_79	contig_seqid79
Contig_80	contig_seqid80
Contig_81	contig_seqid81
Contig_82	contig_seqid82
Contig_83	contig_seqid83
Contig_84	contig_seqid84
Contig_85	contig_seqid85
Contig_86	contig_seqid86
Contig_87	contig_seqid87
Contig_88	contig_seqid88
Contig_89	contig_seqid89
Contig_90	contig_seqid90
Contig_91	contig_seqid91
Contig_92	contig_seqid92
Contig_93	contig_seqid93
Contig_94	contig_seqid94
Contig_95	contig_seqid95
Contig_96	contig_seqid96
Contig_97	contig_seqid97
Contig_98	contig_seqid98
Contig_99	contig_seqid99
Contig_100	contig_seqid100
Contig_101	contig_seqid101
Contig_102	contig_seqid102
Contig_103	contig_seqid103
Contig_104	contig_seqid104
Contig_105	contig_seqid105
Contig_106	contig_seqid106
Contig_107	contig_seqid107
Contig_108	contig_seqid108
Contig_109	contig_seqid109
Contig_110	contig_seqid110
Contig_111	contig_seqid111
Contig_112	contig_seqid112
Contig_113	contig_seqid113
Contig_114	contig_seqid114
Contig_115	contig_seqid115
Contig_116	contig_seqid116
Contig_117	contig_seqid117
Contig_118	contig_seqid118
Contig_119	contig_seqid119
Contig_120	contig_seqid120
Contig_121	contig_seqid121
Contig_122	contig_seqid122
Contig_123	contig_seqid123
Contig_124	contig_seqid124
Contig_125	contig_seqid125
Contig_126	contig_seqid126
Contig_127	contig_seqid127
Contig_128	contig_seqid128
Contig_129	contig_seqid129
Contig_130	contig_seqid130
Contig_131	contig_seqid131
Contig_132	contig_seqid132
Contig_133	contig_seqid133
Contig_134	contig_seqid134
Contig_135	contig_seqid135
Contig_136	contig_seqid136
Contig_137	contig_seqid137
Contig_138	contig_seqid138
Contig_139	contig_seqid139
Contig_140	contig_seqid140
Contig_141	contig_seqid141
Contig_142	contig_seqid142
Contig_143	contig_seqid143
Contig_144	contig_seqid144
Contig_145	contig_seqid145
Contig_146	contig_seqid146
Contig_147	contig_seqid147
Contig_148	contig_seqid148
Contig_149	contig_seqid149
Contig_150	contig_seqid150
Contig_151	contig_seqid151
Contig_152	contig_seqid152
Contig_153	contig_seqid153
Contig_154	contig_seqid154
Contig_155	contig_seqid155
Contig_156	contig_seqid156
Contig_157	contig_seqid157
Contig_158	contig_seqid158
Contig_159	contig_seqid159
Contig_160	contig_seqid160
Contig_161	contig_seqid161
Contig_162	contig_seqid162
Contig_163	contig_seqid163
Contig_164	contig_seqid164
Contig_165	contig_seqid165
Contig_166	contig_seqid166
Contig_167	contig_seqid167
Contig_168	contig_seqid168
Contig_169	contig_seqid169
Contig_170	contig_seqid170
Contig_171	contig_seqid171
Contig_172	contig_seqid172
Contig_173	contig_seqid173
Contig_174	contig_seqid174
Contig_175	contig_seqid175
Contig_176	contig_seqid176
Contig_177	contig_seqid177
Contig_178	contig_seqid178
Contig_179	contig_seqid179
Contig_180	contig_seqid180
Contig_181	contig_seqid181
Contig_182	contig_seqid182
Contig_183	contig_seqid183
Contig_184	contig_seqid184
Contig_185	contig_seqid185
Contig_186	contig_seqid186
Contig_187	contig_seqid187
Contig_188	contig_seqid188
Contig_189	contig_seqid189
Contig_190	contig_seqid190
Contig_191	contig_seqid191
Contig_192	contig_seqid192
Contig_193	contig_seqid193
Contig_194	contig_seqid194
Contig_195	contig_seqid195
Contig_196	contig_seqid196
Contig_197	contig_seqid197
Contig_198	contig_seqid198
Contig_199	contig_seqid199
Contig_200	contig_seqid200
Contig_201	contig_seqid201
Contig_202	contig_seqid202
Contig_203	contig_seqid203
Contig_204	contig_seqid204
Contig_205	contig_seqid205
Contig_206	contig_seqid206
Contig_207	contig_seqid207
Contig_208	contig_seqid208
Contig_209	contig_seqid209
Contig_210	contig_seqid210
Contig_211	contig_seqid211
Contig_212	contig_seqid212
Contig_213	contig_seqid213
Contig_214	contig_seqid214
Contig_215	contig_seqid215
Contig_216	contig_seqid216
Contig_217	contig_seqid217
Contig_218	contig_seqid218
Contig_219	contig_seqid219
Contig_220	contig_seqid220
Contig_221	contig_seqid221
Contig_222	contig_seqid222
Contig_223	contig_seqid223
Contig_224	contig_seqid224
Contig_225	contig_seqid225
Contig_226	contig_seqid226
Contig_227	contig_seqid227
Contig_228	contig_seqid228
Contig_229	contig_seqid229
Contig_230	contig_seqid230
Contig_231	contig_seqid231
Contig_232	contig_seqid232
Contig_233	contig_seqid233
Contig_234	contig_seqid234
Contig_235	contig_seqid235
Contig_236	contig_seqid236
Contig_237	contig_seqid237
Contig_238	contig_seqid238
Contig_239	contig_seqid239
Contig_240	contig_seqid240
Contig_241	contig_seqid241
Contig_242	contig_seqid242
Contig_243	contig_seqid243
Contig_244	contig_seqid244
Contig_245	contig_seqid245
Contig_246	contig_seqid246
Contig_247	contig_seqid247
Contig_248	contig_seqid248
Contig_249	contig_seqid249
Contig_250	contig_seqid250
Contig_251	contig_seqid251
Contig_252	contig_seqid252
Contig_253	contig_seqid253
Contig_254	contig_seqid254
Contig_255	contig_seqid255
Contig_256	contig_seqid256
Contig_257	contig_seqid257
Contig_258	contig_seqid258
Contig_259	contig_seqid259
Contig_260	contig_seqid260
Contig_261	contig_seqid261
Contig_262	contig_seqid262
Contig_263	contig_seqid263
Contig_264	contig_seqid264
Contig_265	contig_seqid265
Contig_266	contig_seqid266
Contig_267	contig_seqid267
Contig_268	contig_seqid268
Contig_269	contig_seqid269
Contig_270	contig_seqid270
Contig_271	contig_seqid271
Contig_272	contig_seqid272
Contig_273	contig_seqid273
Contig_274	contig_seqid274
Contig_275	contig_seqid275
Contig_276	contig_seqid276
Contig_277	contig_seqid277
Contig_278	contig_seqid278
Contig_279	contig_seqid279
Contig_280	contig_seqid280
Contig_281	contig_seqid281
Contig_282	contig_seqid282
Contig_283	contig_seqid283
Contig_284	contig_seqid284
Contig_285	contig_seqid285
Contig_286	contig_seqid286
Contig_287	contig_seqid287
Contig_288	contig_seqid288
Contig_289	contig_seqid289
Contig_290	contig_seqid290
Contig_291	contig_seqid291
Contig_292	contig_seqid292
Contig_293	contig_seqid293
Contig_294	contig_seqid294
Contig_295	contig_seqid295
Contig_296	contig_seqid296
Contig_297	contig_seqid297
Contig_298	contig_seqid298
Contig_299	contig_seqid299
Contig_300	contig_seqid300
Contig_301	contig_seqid301
Contig_302	contig_seqid302
Contig_303	contig_seqid303
Contig_304	contig_seqid304
Contig_305	contig_seqid305
Contig_306	contig_seqid306
Contig_307	contig_seqid307
Contig_308	contig_seqid308
Contig_309	contig_seqid309
Contig_310	contig_seqid310
Contig_311	contig_seqid311
Contig_312	contig_seqid312
Contig_313	contig_seqid313
Contig_314	contig_seqid314
Contig_315	contig_seqid315
Contig_316	contig_seqid316
Contig_317	contig_seqid317
Contig_318	contig_seqid318
Contig_319	contig_seqid319
Contig_320	contig_seqid320
Contig_321	contig_seqid321
Contig_322	contig_seqid322
Contig_323	contig_seqid323
Contig_324	contig_seqid324
Contig_325	contig_seqid325
Contig_326	contig_seqid326
Contig_327	contig_seqid327
Contig_328	contig_seqid328
Contig_329	contig_seqid329
Contig_330	contig_seqid330
Contig_331	contig_seqid331
Contig_332	contig_seqid332
Contig_333	contig_seqid333
Contig_334	contig_seqid334
Contig_335	contig_seqid335
Contig_336	contig_seqid336
Contig_337	contig_seqid337
Contig_338	contig_seqid338
