/homes/bioinfo/bionano/Trib_cast_0002_september_2014/ncbi/pre_Tcas5.2_2.fasta to /homes/bioinfo/bionano/Trib_cast_0002_september_2014/ncbi/Tcas5.2_scaffolds.fasta
scaffold_1	scaffold_seqid1
Super_scaffold_55	scaffold_seqid2
scaffold_15	scaffold_seqid3
scaffold_17	scaffold_seqid4
Super_scaffold_36	scaffold_seqid5
Super_scaffold_6	scaffold_seqid6
Super_scaffold_60	scaffold_seqid7
scaffold_27	scaffold_seqid8
scaffold_28	scaffold_seqid9
scaffold_29	scaffold_seqid10
scaffold_30	scaffold_seqid11
scaffold_31	scaffold_seqid12
scaffold_32	scaffold_seqid13
Super_scaffold_49	scaffold_seqid14
scaffold_38	scaffold_seqid15
Super_scaffold_45	scaffold_seqid16
scaffold_43	scaffold_seqid17
scaffold_44	scaffold_seqid18
scaffold_45	scaffold_seqid19
scaffold_46	scaffold_seqid20
Super_scaffold_19	scaffold_seqid21
scaffold_48	scaffold_seqid22
scaffold_49	scaffold_seqid23
scaffold_50	scaffold_seqid24
scaffold_51	scaffold_seqid25
Super_scaffold_37	scaffold_seqid26
Super_scaffold_29	scaffold_seqid27
scaffold_56	scaffold_seqid28
Super_scaffold_25	scaffold_seqid29
scaffold_58	scaffold_seqid30
scaffold_59	scaffold_seqid31
scaffold_60	scaffold_seqid32
Super_scaffold_57	scaffold_seqid33
scaffold_66	scaffold_seqid34
scaffold_67	scaffold_seqid35
Super_scaffold_28	scaffold_seqid36
Super_scaffold_56	scaffold_seqid37
Super_scaffold_61	scaffold_seqid38
scaffold_84	scaffold_seqid39
Super_scaffold_62	scaffold_seqid40
scaffold_91	scaffold_seqid41
scaffold_92	scaffold_seqid42
Super_scaffold_26	scaffold_seqid43
scaffold_95	scaffold_seqid44
scaffold_96	scaffold_seqid45
Super_scaffold_15	scaffold_seqid46
Super_scaffold_63	scaffold_seqid47
scaffold_104	scaffold_seqid48
Super_scaffold_40	scaffold_seqid49
scaffold_110	scaffold_seqid50
scaffold_112	scaffold_seqid51
Super_scaffold_47	scaffold_seqid52
scaffold_115	scaffold_seqid53
scaffold_116	scaffold_seqid54
scaffold_119	scaffold_seqid55
Super_scaffold_46	scaffold_seqid56
Super_scaffold_27	scaffold_seqid57
scaffold_124	scaffold_seqid58
scaffold_125	scaffold_seqid59
scaffold_126	scaffold_seqid60
scaffold_128	scaffold_seqid61
scaffold_130	scaffold_seqid62
scaffold_131	scaffold_seqid63
scaffold_133	scaffold_seqid64
scaffold_134	scaffold_seqid65
Super_scaffold_64	scaffold_seqid66
Super_scaffold_65	scaffold_seqid67
scaffold_146	scaffold_seqid68
scaffold_147	scaffold_seqid69
scaffold_148	scaffold_seqid70
scaffold_149	scaffold_seqid71
scaffold_150	scaffold_seqid72
scaffold_151	scaffold_seqid73
Super_scaffold_20	scaffold_seqid74
Super_scaffold_34	scaffold_seqid75
scaffold_156	scaffold_seqid76
scaffold_157	scaffold_seqid77
scaffold_2129	scaffold_seqid78
scaffold_1846	scaffold_seqid79
scaffold_1855	scaffold_seqid80
scaffold_1447	scaffold_seqid81
scaffold_1641	scaffold_seqid82
scaffold_206	scaffold_seqid83
scaffold_949	scaffold_seqid84
scaffold_1324	scaffold_seqid85
scaffold_1143	scaffold_seqid86
scaffold_1501	scaffold_seqid87
scaffold_1171	scaffold_seqid88
scaffold_2209	scaffold_seqid89
scaffold_1247	scaffold_seqid90
scaffold_502	scaffold_seqid91
